,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,msmash,FBI Investigates Claims China Tried To Hack Donald Trump's Phone,Joe Biden's administration is investigating alleged Chinese efforts to hack US telecoms infrastructure amid reports hackers had targeted the phones of former president Donald Trump and his running mate JD Vance. Financial Times: The FBI and the Cybersecurity …,https://news.slashdot.org/story/24/10/25/2055241/fbi-investigates-claims-china-tried-to-hack-donald-trumps-phone,https://a.fsdn.com/sd/topics/usa_64.png,2024-10-25T21:00:00Z,Joe Biden's administration is investigating alleged Chinese efforts to hack US telecoms infrastructure amid reports hackers had targeted the phones of former president Donald Trump and his running ma… [+1748 chars],,Slashdot.org
1,Scaachi Koul,Usha Vance Isn’t That Complicated,Attempts to understand her politics miss what is already plain.,https://slate.com/news-and-politics/2024/10/usha-vance-politics-husband-marriage.html,https://compote.slate.com/images/e5c194be-0125-4fd9-9466-296c6653f4f5.jpeg?crop=1560%2C1040%2Cx0%2Cy0&width=1560,2024-10-25T09:40:00Z,"I was all for representation in politics, until I had to think this much about a white guys wife. But here we are, a week and change away from yet another most-important-election-in-American-history,… [+6333 chars]",,Slate Magazine
2,"Dell Cameron, Tess Owen","Judges and Border Police Targeted by Anti-Government Extremists, Doxed as 'Traitors'",A report from the US Department of Homeland Security claims that self-identified militia members have posted the names and photos of US government officials in reaction to their work on the US-Mexico border.,https://www.wired.com/story/judges-border-police-targeted-extremism/,"https://media.wired.com/photos/6712d8511ba4f640c938c381/191:100/w_1280,c_limit/Politics_border_GettyImages-2155724325.jpg",2024-10-23T10:30:00Z,"Earlier this year, the Supreme Courts ruling that the federal governmentnot Texas had ultimate authority over border enforcement led to a tense standoff, which turbocharged violent rhetoric and civil… [+3723 chars]",wired,Wired
3,Matthew Gault,The EU’s Fines Against Elon Musk May Be Much Larger Than Anticipated,The European Union is making a decision that may cause any potential fines against Musk to skyrocket.,https://gizmodo.com/the-eus-fines-against-elon-musk-may-be-much-larger-than-anticipated-2000513026,https://gizmodo.com/app/uploads/2024/10/MuskSad.jpg,2024-10-17T16:30:46Z,The European Union is considering levying fines against Elon Musk over his unwillingness to cooperate with an investigation into Xs moderation and advertising policies. According to a report from Blo… [+2388 chars],,Gizmodo.com
4,Jim Newell,Kamala’s Recent Media Blitz Has a Clear Target,There’s a common thread to all these interviews.,https://slate.com/news-and-politics/2024/10/the-surge-kamala-harris-fox-interview-trump-polls.html,https://compote.slate.com/images/bee5e93a-a872-4310-b344-c46080e963d0.jpeg?crop=1560%2C1040%2Cx0%2Cy1&width=1560,2024-10-19T09:45:00Z,"6. J.D. Vance
Not by the words of English language that describe event I would say have Trump.Ever since he refused to answer the question during his debate with Tim Walz, J.D. Vance has been asked … [+829 chars]",,Slate Magazine
5,"Luke Barr, Katherine Faulders, John Santucci","Chinese hackers believed to have targeted Trump, Vance cellphones: Sources","Chinese hackers believed to have targeted Trump, Vance cell phones, according to reports.",https://abcnews.go.com/Politics/chinese-hackers-believed-targeted-trump-vance-cell-phones/story?id=115158629,https://i.abcnewsfe.com/a/79833fc2-22a3-4ff7-b84a-f7365c0d9e52/trump-vance-gty-er-241025_1729883125292_hpMain_16x9.jpg?w=1600,2024-10-25T19:16:28Z,"Chinese hackers are believed to have targeted cellphones used by former President Donald Trump and his running mate, Sen. JD Vance, according to sources familiar with the matter.
The Trump/Vance cam… [+1445 chars]",abc-news,ABC News
6,Hannah Demissie,Vance says 'no' Trump didn't lose the 2020 election,"In his most direct answer yet of this election cycle, vice presidential nominee Sen. JD Vance said he doesn't believe former President Donald Trump lost the 2020 election",https://abcnews.go.com/Politics/vance-trump-lose-2020-election/story?id=114872599,https://i.abcnewsfe.com/a/e3fc4482-b203-4f3b-aa4a-4b935aa67447/Vance-ap-jm-241016_1729115388020_hpMain_16x9.jpg?w=1600,2024-10-16T23:47:22Z,"Williamsport, Pennsylvania -- In his most direct answer yet of this election cycle, GOP vice presidential nominee Sen. JD Vance said he does not believe former President Donald Trump lost the 2020 el… [+2471 chars]",abc-news,ABC News
7,,"JD Vance demanded $40,000 and first-class flights during speaking tour for hit book, report says",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_fdc0140c-737c-419b-9eee-84620c94d8fa,,2024-10-18T11:10:41Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
8,,JD Vance says Trump did not lose the 2020 US election,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_663e49d2-3671-4d9f-b51e-16f05c8a2229,,2024-10-16T21:48:56Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
9,James Whitbrook,Star Trek: Starfleet Academy Will Warp to Season 2,Star Trek: Discovery's future-forward look at the Trek universe continues with two seasons about Starfleet's bright young students.,https://gizmodo.com/nycc-2024-starfleet-academy-season-2-2000512792,https://gizmodo.com/app/uploads/2024/10/new-york-comic-con-2024-star-trek-starfleet-academy-first-look.jpg,2024-10-19T19:42:44Z,"The idea of a show set around Starfleet’s own university body, Starfleet Academy, has been around for ages, but now we’re finally getting oneand it’s set in Star Trek‘s current farthest future, to bo… [+2895 chars]",,Gizmodo.com
10,Ashley Lopez,Appeals court strikes a Mississippi law that provided a grace period for mail ballots,A conservative appeals court sided with Republicans in ruling against a Mississippi law that allows election officials to count mail ballots that are postmarked by Election Day but arrive after it.,https://www.npr.org/2024/10/25/nx-s1-5144182/mississippi-mail-ballot-return-lawsuit,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3525x1983+0+228/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fc1%2F49%2Fa14db47b42f7b20b24da9f201d23%2Fap23333750080485.jpg,2024-10-25T21:20:18Z,A conservative U.S. appeals court has sided with Republicans in ruling against a Mississippi law that allows election officials to count mail ballots that are postmarked by Election Day but arrive af… [+4741 chars],,NPR
