,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
16,Simon Sharwood,Kamala Harris campaign motorcade halted by confused robotaxis,"Is this AI showing the would-be leader of the free world who's really the boss?
Artificial intelligence may have shown the would-be-leader of the free world who's really in charge, after rogue robo-taxis halted the motorcade of US vice-president – and Democra…",https://www.theregister.com/2024/09/30/kamala_harris_motorcade_waymo_delay/,https://regmedia.co.uk/2022/06/17/shutterstock_kamala_harris.jpg,2024-09-30T06:33:11Z,"Artificial intelligence may have shown the would-be-leader of the free world who's really in charge, after rogue robo-taxis halted the motorcade of US vice-president and Democratic Party presidential… [+1486 chars]",,Theregister.com
17,Matt Novak,Trump Spreads Hurricane Helene Conspiracies as Hundreds Remain Missing,Far-right influencers think Democrats can literally steer hurricanes to Republican-voting regions.,https://gizmodo.com/trump-spreads-hurricane-helene-conspiracies-as-hundreds-remain-missing-2000505112,https://gizmodo.com/app/uploads/2024/09/trump-in-georgia-hurricane.jpg,2024-09-30T19:05:48Z,Donald Trump helped spread a conspiracy theory on Monday that people currently suffering from the devastation of Hurricane Helene are being intentionally ignored because they’re Republican. The forme… [+6259 chars],,Gizmodo.com
18,The New Yorker,The Election Is Dividing Husbands and Wives Across America,"“We always have a gender gap,” the independent Democratic pollster Celinda Lake says. “It looks like it’s going to be on steroids this year.”",https://www.newyorker.com/podcast/political-scene/the-election-is-dividing-husbands-and-wives-across-america,"https://media.newyorker.com/photos/63755311573147b2b8a3132b/16:9/w_1280,c_limit/The%20Political%20Scene%20B%20Glasser%20Mayer%20Osnos%20From%20Washington.jpg",2024-09-28T10:00:00Z,"Listen and subscribe:Apple | Spotify | Google | Wherever You Listen
Sign upto receive our twice-weekly News &amp; Politics newsletter.
Recent polls suggest that American men and women are more divi… [+439 chars]",,The New Yorker
19,Dana Miranda,Your Student Loans Under Harris vs. Trump. Here's What the Experts Predict,Both presidential candidates have shared very different plans for the future of student loans programs.,https://www.cnet.com/personal-finance/loans/your-student-loans-under-harris-vs-trump-heres-what-the-experts-predict/,https://www.cnet.com/a/img/resize/ef8514f64ecfef2bc5e8e103e8d6cbfb78df7f81/hub/2024/09/26/5b0232d9-babb-4f8e-8a7a-294b8aece880/student-loan-election.png?auto=webp&fit=crop&height=675&width=1200,2024-09-29T02:03:56Z,"The future of student loan forgiveness and repayment programs could depend on whoever wins the presidency this November.
Vice President Kamala Harris and former President Donald Trump have laid out … [+6671 chars]",,CNET
20,Jim Newell,The One Unlikely Ally Eric Adams May Have Left,Donald Trump has some thoughts on the mayor’s indictment.,https://slate.com/news-and-politics/2024/09/donald-trump-eric-adams-indictment-new-york-turkey-nebraska-robinson-manchin.html,https://compote.slate.com/images/d14b3c85-de14-4877-be04-5d4e9604238d.jpeg?crop=1560%2C1040%2Cx0%2Cy0&width=1560,2024-09-28T09:45:00Z,"2. Mike McDonnell
The Nebraska Republican who was very disrespectful (so rude) to Mr. Trump.Ever since Republicans in the unicameral Nebraska Legislature earned a two-thirds supermajority in April, … [+1393 chars]",,Slate Magazine
21,Emma Bowman,Why the U.S. government is hailing Israel's killing of Hezbollah's leader as 'justice',"Hezbollah’s leader Hassan Nasrallah was killed by Israeli airstrike this weekend. The Biden administration said it gives the victims of the Iran-backed Lebanese militant group ""a measure of justice.""",https://www.npr.org/2024/09/29/g-s1-25322/biden-nasrallah-hezbollah-israel,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/7406x4166+0+386/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fd0%2F0e%2F06ee98cb4d56826d57d127cd1985%2Fap24272684699692.jpg,2024-09-29T10:27:53Z,The death of Hezbollahs leader Hassan Nasrallah by an Israeli airstrike on Saturday could reshape the war in the Middle East in ways not yet known. The civilian death toll from the strikes is likely … [+2944 chars],,NPR
22,Lloyd Lee,Mark Cuban tells 'faithful soldier' Elon Musk that Trump will eventually turn on him,"Mark Cuban called Elon Musk a ""faithful soldier"" to Donald Trump and warned that his loyalty to the former president won't always be rewarded.",https://www.businessinsider.com/mark-cuban-elon-musk-feud-donald-trump-loyalty-2024-9,https://i.insider.com/66f9c6e17518aa57bc9f1086?width=1200&format=jpeg,2024-09-29T22:44:28Z,"Mark Cuban warned Elon Musk on X that Donald Trump is only loyal to himself.Christopher Willard/ABC via Getty Images; Alain Jocard/AFP via Getty Images
<ul><li>Elon Musk shared another post on socia… [+2673 chars]",business-insider,Business Insider
23,Katie Balevic,Elon Musk's pro-Trump super PAC is running ads targeting young men who don't vote,"Elon Musk's Trump-supporting super PAC is turning its attention to young men, who turn out to vote less than young women.",https://www.businessinsider.com/elon-musk-trump-america-pac-targets-young-men-vote-2024-9,https://i.insider.com/66f86f297518aa57bc9f06ac?width=1200&format=jpeg,2024-09-29T10:19:02Z,"Elon Musk endorsed former President Donald Trump in July. Steve Granitz/FilmMagic via Getty Images
<ul><li>Elon Musk's super PAC is trying to get young men to vote for Donald Trump.</li><li>Ads by t… [+2413 chars]",business-insider,Business Insider
24,Christian Paz,Kamala Harris’s new (old) problem at the border,"It’s been one of the most obvious changes since Kamala Harris became the Democratic presidential nominee: tougher talk on the border, an emphasis on enforcement and prosecuting traffickers, and renewed support for a bipartisan bill that would keep building th…",https://www.vox.com/2024-elections/374661/kamala-harris-immigration-border-visit-arizona-activist-problem-election,https://platform.vox.com/wp-content/uploads/sites/2/2024/09/gettyimages-2166298430.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2024-09-27T21:17:08Z,"Its been one of the most obvious changes since Kamala Harris became the Democratic presidential nominee: tougher talk on the border, an emphasis on enforcement and prosecuting traffickers, and renewe… [+6798 chars]",,Vox
25,Jean-Yves Alric,Comment Kamala Harris et Donald Trump se positionnent sur les grands dossiers technologiques ?,Les deux candidats ont des points de vue très opposés sur de nombreux sujets,https://www.presse-citron.net/comment-kamala-harris-et-donald-trump-se-positionnent-sur-les-grands-dossiers-technologiques/,https://www.presse-citron.net/app/uploads/2024/09/presidentielle-USA.jpg,2024-09-29T07:57:29Z,"Dans quelques semaines se tiendra lélection présidentielle américaine. Observée de près par lensemble de la planète, elle revêt une importance considérable cette année dans un contexte très tendu. En… [+4031 chars]",,Presse-citron
