,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,,[Removed],[Removed],https://removed.com,,2024-10-23T10:00:46Z,[Removed],,[Removed]
1,David Gilbert,Russian Propaganda Unit Appears to Be Behind Spread of False Tim Walz Sexual Abuse Claims,The Russian-aligned network Storm-1516 has a long history of posting fake whistleblower videos—including deepfakes—to push Kremlin talking points.,https://www.wired.com/story/russian-propaganda-unit-storm-1516-false-tim-walz-sexual-abuse-claims/,"https://media.wired.com/photos/671197bb15f120d5b7849430/191:100/w_1280,c_limit/Politics_Tim_Walz_Propaganda_Getty-Images.jpg",2024-10-21T18:16:43Z,"The claims, however, didnt go viral until last week and the release of the deepfake video.
Darren Linvill, codirector at Clemson Universitys Media Forensics Hub, tells WIRED that he immediately reco… [+2327 chars]",wired,Wired
2,Matt Novak,Trump Supporters’ Fake Stories About Harris and Walz Flood the ‘For You’ Page on X,X has truly become a garbage heap since Trump donor Elon Musk bought the site.,https://gizmodo.com/trump-supporters-fake-stories-about-harris-and-walz-flood-the-for-you-page-on-x-2000514522,https://gizmodo.com/app/uploads/2024/10/trump-mcdonalds-pennsylvania.jpg,2024-10-21T20:10:02Z,"The 2024 presidential campaign has been awash with fake stories about Vice President Kamala Harris and her running mate Tim Walz in recent months, all spread by supporters of Donald Trump. But nowher… [+9189 chars]",,Gizmodo.com
3,Lucas Ropek,Woman Says She Used an Apple AirTag to Track Down Stolen Kamala Harris Sign,"When her lawn signs kept disappearing, one Missouri woman turned to innovative measures.",https://gizmodo.com/woman-says-she-used-an-apple-airtag-to-track-down-stolen-kamala-harris-sign-2000515848,https://gizmodo.com/app/uploads/2024/10/Kamala-Harris-and-Donald-Trump-signs-.jpg,2024-10-24T13:05:49Z,"We’re in the final two weeks before the U.S. presidential election, which means that it’s currently peak campaign-sign-stealing season. Indeed, one woman in Missouri says she grew so tired of the Kam… [+2510 chars]",,Gizmodo.com
4,Matt Novak,MAGA Faithful Say McDonald’s E. Coli Outbreak Is a Conspiracy to Hurt Trump,"""I think this was orchestrated by deep state Harris supporters after Trump’s visit to McDonald’s,"" one Trump supporter wrote.",https://gizmodo.com/maga-faithful-say-mcdonalds-e-coli-outbreak-is-a-conspiracy-to-hurt-trump-2000515385,https://gizmodo.com/app/uploads/2024/10/trump-mcdonalds.jpg,2024-10-23T18:20:38Z,"The CDC warned consumers about a dangerous E. coli outbreak tied to McDonald’s Quarter Pounders on Tuesday, which has killed one person, hospitalized 10, and sickened dozens more. It’s a frightening … [+5947 chars]",,Gizmodo.com
5,Matt Novak,Why Are Trump Supporters Suddenly Freaked Out About Deepfakes?,"Trump has previously called real videos of himself doing something embarrassing ""fake"" or AI.",https://gizmodo.com/why-are-trump-supporters-suddenly-freaked-out-about-deepfakes-2000515776,https://gizmodo.com/app/uploads/2024/10/trump-gestures.jpg,2024-10-23T21:34:14Z,Right-wing influencers took to social media Tuesday and Wednesday to warn about future deepfakes that could emerge of Donald Trump. And all of the chatter has caused people to become very suspicious … [+5200 chars],,Gizmodo.com
6,Matt Novak,Dems Launch Taylor Swift Snapchat Filter to Target Young Voters for Kamala Harris,The campaign pushes users to IWillVote.com to make sure they're registered.,https://gizmodo.com/dems-launch-taylor-swift-snapchat-filter-to-target-young-voters-for-kamala-harris-2000513374,https://gizmodo.com/app/uploads/2024/10/taylor-swift-snapchat-filters.jpg,2024-10-18T12:55:08Z,"The Democratic National Committee announced a new campaign Friday morning targeting youth voters and fans of Taylor Swift, the biggest pop star in the world right now, with the hopes of turning out m… [+3301 chars]",,Gizmodo.com
7,Shannon Bond,"Russia is behind fake video of ballots being destroyed, U.S. officials say","Federal intelligence officials and the FBI say Russia is behind the video, which has spread widely on social media, including Elon Musk’s X.",https://www.npr.org/2024/10/25/nx-s1-5165593/russia-ballot-video-bucks-county,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6000x3375+0+313/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fa3%2F68%2F648db28646c48cd99e63f6ff945b%2Fgettyimages-2175000294.jpg,2024-10-26T01:00:02Z,"Russia manufactured and spread a fake video that purports to show someone destroying ballots marked for former President Donald Trump in Pennsylvania, U.S. officials said on Friday.
The phony video … [+2468 chars]",,NPR
8,,Moment widow tells Tim Walz to stay away from her officer husband’s funeral - as he ‘never supported the police’,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f32008c0-662b-49ed-b499-be2f55435989,,2024-10-24T09:30:00Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
9,Isabella Murray,'Blue Dot' in Nebraska draws boldface political names,The Harris and Trump campaigns descended upon Nebraska to deliver a similar message to its 2nd Congressional District: their votes could decide the presidential race.,https://abcnews.go.com/Politics/blue-dot-nebraska-draws-boldface-political-names/story?id=114967525,https://i.abcnewsfe.com/a/c43a6743-9638-4d1f-80dc-bbbeeacfdb9b/walz-nebraska-ap-lv-241020_1729438059674_hpMain_16x9.jpg?w=1600,2024-10-20T18:34:22Z,"PAPILLION, Neb. -- On an unseasonably warm October evening in eastern Nebraska on Saturday, with only 17 days until the 2024 presidential election, both the Harris and Trump campaigns descended upon … [+6638 chars]",abc-news,ABC News
